"","Article 5","Article 6","Article 8","Article 11","Article 13"
"General Trade","0.02 ","0.30 ***","0.13 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Tobacco Trade","0.01 ","0.23 **","0.28 **","0.28 **","0.10 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Minimal distance","0.07 ","0.25 *","0.14 ","0.32 **","0.44 ***"
"","(0.10)","(0.13)","(0.15)","(0.14)","(0.16)"
"Centroid Distance","0.22 ","0.81 ","2.84 ***","1.65 **","0.67 "
"","(0.50)","(0.57)","(0.85)","(0.65)","(0.63)"
"Country Borders","0.02 ","0.11 ","0.03 ","0.18 *","0.19 "
"","(0.08)","(0.10)","(0.12)","(0.11)","(0.12)"
"GlobalLink Posts","0.03 ","0.12 ","0.24 *","0.25 ***","0.03 "
"","(0.07)","(0.08)","(0.14)","(0.10)","(0.12)"
"GlobalLink Referrals","-0.09 ","0.13 *","0.08 ","0.09 ","0.01 "
"","(0.06)","(0.07)","(0.11)","(0.08)","(0.08)"
"FCTC COP co-participation","0.01 ","0.01 ","0.30 ","0.39 *","0.40 *"
"","(0.13)","(0.16)","(0.29)","(0.20)","(0.21)"
"FCTC INB co-participation","-0.19 *","0.28 **","-0.03 ","0.63 ***","0.35 **"
"","(0.11)","(0.14)","(0.27)","(0.18)","(0.17)"
"Interest Group co-membership","-0.02 ","0.11 ","0.01 ","0.15 ","0.19 "
"","(0.06)","(0.08)","(0.16)","(0.10)","(0.12)"
