"","Article 5","Article 6","Article 8","Article 11","Article 13"
"General Trade","0.02 ","0.30 ***","0.12 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Tobacco Trade","0.02 ","0.24 **","0.26 *","0.28 **","0.09 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Minimal distance","0.07 ","0.25 *","0.16 ","0.33 **","0.47 ***"
"","(0.10)","(0.13)","(0.15)","(0.14)","(0.16)"
"Centroid Distance","0.24 ","0.81 ","2.75 ***","1.64 **","0.64 "
"","(0.50)","(0.57)","(0.85)","(0.65)","(0.63)"
"Country Borders","0.01 ","0.11 ","0.05 ","0.19 *","0.22 *"
"","(0.08)","(0.10)","(0.12)","(0.11)","(0.12)"
"GlobalLink Posts","0.04 ","0.13 ","0.22 ","0.25 **","0.02 "
"","(0.07)","(0.08)","(0.14)","(0.10)","(0.12)"
"GlobalLink Referrals","-0.09 ","0.13 *","0.09 ","0.09 ","0.02 "
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.08)"
"FCTC COP co-participation","-0.00 ","-0.00 ","0.35 ","0.41 **","0.45 **"
"","(0.13)","(0.17)","(0.29)","(0.20)","(0.21)"
"FCTC INB co-participation","-0.20 *","0.28 *","0.01 ","0.65 ***","0.37 **"
"","(0.11)","(0.14)","(0.27)","(0.18)","(0.17)"
"Interest Group co-membership","-0.02 ","0.12 ","-0.00 ","0.14 ","0.18 "
"","(0.06)","(0.08)","(0.16)","(0.10)","(0.12)"
